"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"GTL Limited","157296781","22480559","    14.29","134816222","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","5067373","157096527","3.23",,"23-Oct-2025 16:30:19"
"GTPL Hathway Limited","112463038","84347278","    75.00","28115760","0","     0.00","     0.00",,"23-Oct-2025 16:30:51","4452360","112463038","3.96",,"23-Oct-2025 16:30:51"
"GVK Power & Infrastructure Limited","1579210400","856729340","    54.25","722481060","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","14442895","1577086274","0.92",,"23-Oct-2025 16:30:34"
"Gabriel India Limited","143643940","79004167","    55.00","64639773","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","1883978","142733370","1.32",,"23-Oct-2025 16:30:20"
"Galaxy Surfactants Limited","35454752","25141128","    70.91","10313624","5200","     0.02","     0.01",,"23-Oct-2025 16:30:52","186158","35348852","0.53",,"23-Oct-2025 16:30:52"
"Gallantt Ispat Limited","241280945","166318587","    68.93","74962358","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","5141697","241102175","2.13",,"23-Oct-2025 16:30:35"
"Gandhi Special Tubes Limited","12152000","8935257","    73.53","3216743","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","101484","11931155","0.85",,"23-Oct-2025 16:30:37"
"Ganesha Ecosphere Limited","26795984","10580673","    39.49","16215311","1975000","    18.67","     7.37",,"23-Oct-2025 16:30:49","3333994","25210010","13.22",,"23-Oct-2025 16:30:49"
"Gangotri Textiles Limited","32614634","8000457","    24.53","24614177","5987593","    74.84","    18.36",,"23-Oct-2025 16:30:35","6170025","32210858","19.16",,"23-Oct-2025 16:30:35"
"Gayatri Highways Limited","239651900","146554710","    61.15","93097190","133199035","    90.89","    55.58",,"23-Oct-2025 16:30:52","141243400","239649479","58.94",,"23-Oct-2025 16:30:52"
"Gayatri Projects Limited","187198685","7383985","     3.94","179814700","5346085","    72.40","     2.86",,"23-Oct-2025 16:30:46","33281351","187198540","17.78",,"23-Oct-2025 16:30:46"
"GeeCee Ventures Limited","20911729","14159942","    67.71","6751787","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","283013","20912792","1.35",,"23-Oct-2025 16:30:36"
"Genesys International Corporation Limited","41718912","13168032","    31.56","28550880","1186046","     9.01","     2.84",,"23-Oct-2025 16:30:29","6347592","41708358","15.22",,"23-Oct-2025 16:30:29"
"Gensol Engineering Limited","38446368","13792293","    35.87","24654075","13117099","    95.10","    34.12",,"23-Oct-2025 16:30:54","8475978","38002434","22.3",,"23-Oct-2025 16:30:54"
"Genus Paper & Boards Limited","257125940","130723860","    50.84","126402080","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","4097601","254894472","1.61",,"23-Oct-2025 16:30:49"
"Genus Power Infrastructures Limited","304111548","119684511","    39.36","184427037","5500000","     4.60","     1.81",,"23-Oct-2025 16:30:33","33154856","303006386","10.94",,"23-Oct-2025 16:30:33"
"Geojit Financial Services Limited","279122119","144397245","    51.73","134724874","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","6262290","278990817","2.24",,"23-Oct-2025 16:30:33"
"Ghcl Textiles Limited","95585786","18314536","    19.16","77271250","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","2795841","95585786","2.92",,"23-Oct-2025 16:30:54"
"Gillanders Arbuthnot & Company Limited","21342346","14737277","    69.05","6605069","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","173463","21065079","0.82",,"23-Oct-2025 16:30:43"
"Gillette India Limited","32585217","24437803","    75.00","8147414","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","1007627","32541116","3.1",,"23-Oct-2025 16:30:20"
"Ginni Filaments Limited","85650065","59717283","    69.72","25932782","10408300","    17.43","    12.15",,"23-Oct-2025 16:30:12","11043982","85162853","12.97",,"23-Oct-2025 16:30:12"
"Gitanjali Gems Limited","118616005","32926361","    27.76","85689644","25866102","    78.56","    21.81",,"23-Oct-2025 16:30:34","23863661","118550246","20.13",,"23-Oct-2025 16:30:34"
"GlaxoSmithKline Pharmaceuticals Limited","169406034","127054524","    75.00","42351510","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","1137132","168229934","0.68",,"23-Oct-2025 16:30:19"
"Glenmark Pharmaceuticals Limited","282200809","131632937","    46.65","150567872","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","2668011","281374975","0.95",,"23-Oct-2025 16:30:27"
"Global Vectra Helicorp Limited","14000000","10500000","    75.00","3500000","0","     0.00","     0.00",,"23-Oct-2025 16:30:36","200479","13999951","1.43",,"23-Oct-2025 16:30:36"
"Globe Textiles (India) Limited","450418788","147937613","    32.84","302481175","26000000","    17.57","     5.77",,"23-Oct-2025 16:30:51","37392385","450418788","8.3",,"23-Oct-2025 16:30:51"
"Globus Spirits Limited","28965734","14703755","    50.76","14261979","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","1712481","28965650","5.91",,"23-Oct-2025 16:30:42"
"Gmr Power And Urban Infra Limited","714836194","361426826","    50.56","353409368","279000000","    77.19","    39.03",,"23-Oct-2025 16:30:54","333520195","714836194","46.66",,"23-Oct-2025 16:30:54"
"Go Fashion (India) Limited","54008984","28508648","    52.79","25500336","5686752","    19.95","    10.53",,"23-Oct-2025 16:30:54","5929217","54008984","10.98",,"23-Oct-2025 16:30:54"
"Goa Carbon Limited","9151052","5464989","    59.72","3686063","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","248754","9035891","2.75",,"23-Oct-2025 16:30:26"
"Godawari Power And Ispat limited","669616728","425255795","    63.51","244360933","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","43182696","669606288","6.45",,"23-Oct-2025 16:30:35"
"Godfrey Phillips India Limited","155981760","113212437","    72.58","42769323","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","3041563","155681919","1.95",,"23-Oct-2025 16:30:20"
"Godrej Consumer Products Limited","1023074343","542867566","    53.06","480206777","0","     0.00","     0.00",,"23-Oct-2025 16:30:28","2563322","1018809857","0.25",,"23-Oct-2025 16:30:28"
"Godrej Industries Limited","336803137","240162452","    71.31","96640685","0","     0.00","     0.00",,"23-Oct-2025 16:30:29","1698706","336602781","0.5",,"23-Oct-2025 16:30:29"
"Godrej Properties Limited","301206344","141728593","    47.05","159477751","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","2593618","301194214","0.86",,"23-Oct-2025 16:30:43"
"Goenka Diamond and Jewels Limited","317000000","182429250","    57.55","134570750","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","6652972","316994515","2.1",,"23-Oct-2025 16:30:44"
"Gokaldas Exports Limited","73228378","6705348","     9.16","66523030","6455957","    96.28","     8.82",,"23-Oct-2025 16:30:32","10592628","73239268","14.46",,"23-Oct-2025 16:30:32"
"Gokul Agro Resources Limited","147543358","108696974","    73.67","38846384","15000000","    13.80","    10.17",,"23-Oct-2025 16:30:50","43814106","274623576","15.95",,"23-Oct-2025 16:30:50"
"Gokul Refoils and Solvent Limited","98995000","72074272","    72.81","26920728","0","     0.00","     0.00",,"23-Oct-2025 16:30:42","457143","98989595","0.46",,"23-Oct-2025 16:30:42"
"Golden Tobacco Limited","17608802","5241472","    29.77","12367330","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","101794","16291542","0.62",,"23-Oct-2025 16:30:20"
"Goldiam International Limited","112917844","66072060","    58.51","46845784","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","8712638","112410689","7.75",,"23-Oct-2025 16:30:33"
"Goodluck India Limited","33238509","18762539","    56.45","14475970","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","3305058","33143009","9.97",,"23-Oct-2025 16:30:49"
"Gopal Snacks Limited","124622344","101535692","    81.47","23086652","5800000","     5.71","     4.65",,"23-Oct-2025 16:30:54","7952074","124622344","6.38",,"23-Oct-2025 16:30:54"
"Goyal Aluminiums Limited","142732780","99828800","    69.94","42903980","0","     0.00","     0.00",,"23-Oct-2025 16:30:54","2770003","142732780","1.94",,"23-Oct-2025 16:30:54"
"Granules India Limited","242668716","94203525","    38.82","148465191","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","17938596","242591476","7.39",,"23-Oct-2025 16:30:33"
"Graphite India Limited","195375594","127659645","    65.34","67715949","0","     0.00","     0.00",,"23-Oct-2025 16:30:16","6274614","194621748","3.22",,"23-Oct-2025 16:30:16"
"Grasim Industries Limited","680580576","295522253","    43.42","385058323","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","21069062","677040035","3.11",,"23-Oct-2025 16:30:21"
"Gravita India Limited","73808451","42231113","    57.22","31577338","0","     0.00","     0.00",,"23-Oct-2025 16:30:45","3225248","73805545","4.37",,"23-Oct-2025 16:30:45"
"Greaves Cotton Limited","232844585","129921455","    55.80","102923130","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","17324311","231632633","7.48",,"23-Oct-2025 16:30:20"
"Greenply Industries Limited","124880795","64548180","    51.69","60332615","0","     0.00","     0.00",,"23-Oct-2025 16:30:22","2657742","124834615","2.13",,"23-Oct-2025 16:30:22"
"Grindwell Norton Limited","110720000","64254259","    58.03","46465741","0","     0.00","     0.00",,"23-Oct-2025 16:30:35","576897","110387606","0.52",,"23-Oct-2025 16:30:35"
"Gufic Biosciences Limited","100282506","72708151","    72.50","27574355","0","     0.00","     0.00",,"23-Oct-2025 16:30:31","1455256","100257506","1.45",,"23-Oct-2025 16:30:31"
"Gujarat Alkalies and Chemicals Limited","73436928","33986310","    46.28","39450618","0","     0.00","     0.00",,"23-Oct-2025 16:30:19","4328459","72901328","5.94",,"23-Oct-2025 16:30:19"
"Gujarat Ambuja Exports Limited","458670660","292837968","    63.84","165832692","0","     0.00","     0.00",,"23-Oct-2025 16:30:28","12559633","449734236","2.79",,"23-Oct-2025 16:30:28"
"Gujarat Apollo Industries Limited","11800000","6134335","    51.99","5665665","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","495458","11696191","4.24",,"23-Oct-2025 16:30:23"
"Gujarat Fluorochemicals Limited","109850000","67440906","    61.39","42409094","578700","     0.86","     0.53",,"23-Oct-2025 16:30:53","5171151","109190000","4.74",,"23-Oct-2025 16:30:53"
"Gujarat Industries Power Company Limited","155215944","87800917","    56.57","67415027","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","8222985","154654512","5.32",,"23-Oct-2025 16:30:17"
"Gujarat Lease Financing Limited","27125767","12387222","    45.67","14738545","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","198214","24482981","0.81",,"23-Oct-2025 16:30:20"
"Gujarat Mineral Development Corporation Limited","318000000","235320000","    74.00","82680000","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","20213612","317628421","6.36",,"23-Oct-2025 16:30:25"
"Gujarat Narmada Valley Fertilizers and Chemicals Limited","146940683","60693667","    41.30","86247016","0","     0.00","     0.00",,"23-Oct-2025 16:30:06","7644723","142345210","5.37",,"23-Oct-2025 16:30:06"
"Gujarat Pipavav Port Limited","483439910","212738931","    44.01","270700979","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","25664601","483136883","5.31",,"23-Oct-2025 16:30:44"
"Gujarat Raffia Industries Limited","5404500","2140252","    39.60","3264248","0","     0.00","     0.00",,"23-Oct-2025 16:30:24","4790","3310573","0.14",,"23-Oct-2025 16:30:24"
"Gujarat State Fertilizers & Chemicals Limited","398477530","150799905","    37.84","247677625","0","     0.00","     0.00",,"23-Oct-2025 16:30:21","27138328","393047540","6.9",,"23-Oct-2025 16:30:21"
"Gujarat State Petronet Limited","564211376","212305270","    37.63","351906106","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","9803289","564196376","1.74",,"23-Oct-2025 16:30:34"
"Gujarat Themis Biosyn Limited","108965265","77218083","    70.86","31747182","2550000","     3.30","     2.34",,"23-Oct-2025 16:30:55","7200515","107791425","6.68",,"23-Oct-2025 16:30:55"
"Gulf Oil Lubricants India Limited","49319623","33100725","    67.11","16218898","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","675651","49091988","1.38",,"23-Oct-2025 16:30:48"
"HBL Engineering Limited","277194946","163852309","    59.11","113342637","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","18913901","275146352","6.87",,"23-Oct-2025 16:30:37"
"HCL Infosystems Limited","329209928","207031161","    62.89","122178767","0","     0.00","     0.00",,"23-Oct-2025 16:30:27","7718570","327424604","2.36",,"23-Oct-2025 16:30:27"
"HCL Technologies Limited","2713665096","1658455918","    61.11","1055209178","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","9625676","2713126090","0.35",,"23-Oct-2025 16:30:26"
"HDFC Bank Limited","15363698554","2056748775","    13.39","13306949779","0","     0.00","     0.00",,"23-Oct-2025 16:30:17","231608216","15357927260","1.51",,"23-Oct-2025 16:30:17"
"HEC Infra Projects Limited","10838160","8121500","    74.93","2716660","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","14039","10838160","0.13",,"23-Oct-2025 16:30:50"
"HEG Limited","192977530","107639870","    55.78","85337660","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","7513417","191799510","3.92",,"23-Oct-2025 16:30:20"
"HFCL Limited","1442672812","433611494","    30.06","1009061318","5000000","     1.15","     0.35",,"23-Oct-2025 16:30:45","182293636","1442256062","12.64",,"23-Oct-2025 16:30:45"
